id,target,context
11055,excitation light device,G02
11056,excitation light source,G02
11057,excitation radiation device,G02
11058,excitation radiation source,G02
11059,excitation source,G02
11060,illuminant,G02
11061,illumination element,G02
11062,illumination source,G02
11063,laser,G02
11064,laser radiation source,G02
11065,led,G02
11066,microwaves,G02
11067,non electromagnetic radiation,G02
11068,optical component,G02
11069,optical component source,G02
11070,optical device,G02
11071,optical element,G02
11072,optical light device,G02
11073,optical light source,G02
11074,optical radiation device,G02
11075,optical radiation source,G02
11076,optical source,G02
11077,radiant energy source,G02
11078,radiation generating device,G02
11079,radiation hazard,G02
11080,radiation source,G02
11081,radio waves,G02
11082,source documents,G02
11083,source terminal,G02
11084,source tree,G02
11085,water source,G02
11086,x ray machine,G02
11087,target elevation,A21
11088,measure elevation,B25
11089,target elevation,B63
11090,diagrammatic,B66
11091,elevation,B66
11092,elevation elevational view,B66
11093,elevation plan elevation,B66
11094,elevation plan view,B66
11095,elevational elevation,B66
11096,elevational plan elevation,B66
11097,elevational plan view,B66
11098,elevational view,B66
11099,relative elevation,B66
11100,schematic,B66
11101,side elevation,B66
11102,side elevational elevation,B66
11103,side elevational view,B66
11104,side view,B66
11105,view elevation view,B66
11106,view elevational view,B66
11107,angular elevation,C10
11108,measure elevation,D06
11109,cross isometric view,E06
11110,cross sectional view,E06
11111,elevation,E06
11112,elevation perspective view,E06
11113,elevational perspective view,E06
11114,elevational view,E06
11115,end elevation,E06
11116,end elevational section,E06
11117,end elevational view,E06
11118,end perspective section,E06
11119,end perspective view,E06
11120,end view,E06
11121,isometric view,E06
11122,perspective elevation,E06
11123,perspective view,E06
11124,side elevational view,E06
11125,side perspective view,E06
11126,elevation,F24
11127,elevation perspective view,F24
11128,elevation section,F24
11129,elevational diagram,F24
11130,elevational perspective view,F24
11131,elevational section,F24
11132,elevational view,F24
11133,perspective diagram,F24
11134,perspective view,F24
11135,cross illustration,G01
11136,cross perspective illustration,G01
11137,cross perspective representation,G01
11138,cross sectional illustration,G01
11139,cross sectional representation,G01
11140,cross sectional view,G01
11141,cross view,G01
11142,elevation,G01
11143,elevational illustration,G01
11144,elevational perspective illustration,G01
11145,elevational perspective representation,G01
11146,elevational representation,G01
11147,elevational schematic illustration,G01
11148,elevational schematic representation,G01
11149,illustration,G01
11150,perspective elevational illustration,G01
11151,perspective elevational representation,G01
11152,perspective illustration,G01
11153,perspective representation,G01
11154,perspective schematic illustration,G01
11155,perspective schematic representation,G01
11156,relative elevation,G01
11157,representation,G01
11158,section view,G01
11159,sectional illustration,G01
11160,sectional perspective illustration,G01
11161,sectional perspective representation,G01
11162,sectional representation,G01
11163,sectional view,G01
11164,angle,H01
11165,angular elevation,H01
11166,circuit architecture,H01
11167,coupled capacitor,H01
11168,elevator,H01
11169,elevator pitch,H01
11170,eye view,H01
11171,front elevation view,H01
11172,hill view,H01
11173,isometric view,H01
11174,parallel lines,H01
11175,partial sectional view,H01
11176,partial side view,H01
11177,side elevation view,H01
11178,top perspective view,H01
11179,top score,H01
11180,transister,H01
11181,two dimensions,H01
11182,view bill,H01
11183,aperture,B25
11184,auto hammer,B25
11185,cam actuated percussive tool,B25
11186,device casing,B25
11187,electric hand tool machine,B25
11188,embed groove,B25
11189,embedded c,B25
11190,embedded groove,B25
11191,embedded integrated circuit,B25
11192,embedding,B25
11193,embedding algorithms,B25
11194,embedding annular groove,B25
11195,embedding groove,B25
11196,embedding holes,B25
11197,embedding matrix,B25
11198,embedding openings,B25
11199,embedding ring,B25
11200,embedding spaces,B25
11201,flange,B25
11202,groove,B25
11203,groove pencil,B25
11204,handle,B25
11205,leg groove,B25
11206,longitudinal grooves,B25
11207,opening,B25
11208,rotating screw,B25
11209,annular,F23
11210,annular groove,F23
11211,annular recess,F23
11212,annular report,F23
11213,clamping groove,F23
11214,depth,F23
11215,elongated groove,F23
11216,embedded computer,F23
11217,embedded groove,F23
11218,embedded grooves,F23
11219,embedded notch,F23
11220,embedded recess,F23
11221,embedded slot,F23
11222,embedding,F23
11223,embedding grooves,F23
11224,embedding protrusion,F23
11225,embedding slot,F23
11226,embedding text,F23
11227,flange,F23
11228,groove,F23
11229,groove music,F23
11230,groove notch,F23
11231,hole,F23
11232,insertion pin,F23
11233,inwardly concave groove,F23
11234,inwardly extending groove,F23
11235,open groove,F23
11236,outer housing,F23
11237,piston ring,F23
11238,sleeve,F23
11239,upward communication,F23
11240,upwardly concave groove,F23
11241,upwardly extending groove,F23
11242,bluetooth turntable portion,B44
11243,debossing portion,B44
11244,diffraction grating tool,B44
11245,embossed portion,B44
11246,embossed region,B44
11247,embossing,B44
11248,embossing inner portion,B44
11249,embossing machine,B44
11250,embossing part,B44
11251,embossing portion,B44
11252,embossing programs,B44
11253,embossing region,B44
11254,embossing section,B44
11255,embossing segment,B44
11256,embossing technique,B44
11257,food portion,B44
11258,house portion,B44
11259,mosaic wall painting,B44
11260,portion of the embossing,B44
11261,router portion,B44
11262,share portion,B44
11263,stamping,B44
11264,wall paper,B44
11265,wood double roller veneer press,B44
11266,amphiphilic polymer,C08
11267,aqueous,C08
11268,aqueous pigment,C08
11269,article,C08
11270,capsulated pigment,C08
11271,coated pigment,C08
11272,electrophoretic composition,C08
11273,electrophoretic pigment,C08
11274,encapsulated biological material,C08
11275,encapsulated bottle,C08
11276,encapsulated color,C08
11277,encapsulated colored material,C08
11278,encapsulated component,C08
11279,encapsulated composition,C08
11280,encapsulated dye,C08
11281,encapsulated meat,C08
11282,encapsulated particles,C08
11283,encapsulated phthalocyanine,C08
11284,encapsulated pigment composition,C08
11285,encapsulated pigments,C08
11286,encapsulated shell,C08
11287,encapsulated tint,C08
11288,eye pigmentation,C08
11289,hyperpigmentation,C08
11290,ink,C08
11291,inkjet,C08
11292,non encapsulated,C08
11293,passivation layer,C08
11294,polymer coated,C08
11295,printing,C08
11296,silver halide,C08
11297,stable aqueous,C08
11298,stable pigment,C08
11299,un encapsulated,C08
11300,aqueous dispersion,C09
11301,aqueous fine composition,C09
11302,aqueous fine dispersion,C09
11303,aqueous pigment,C09
11304,aqueous pigment composition,C09
11305,aqueous pigment dispersion,C09
11306,chain,C09
11307,emulsion,C09
11308,encapsulated component,C09
11309,encapsulated particle,C09
11310,encapsulating pigment,C09
11311,ink,C09
11312,ink dispersion,C09
11313,ink fine composition,C09
11314,ink fine dispersion,C09
11315,ink pigment,C09
11316,ink pigment composition,C09
11317,ink pigment dispersion,C09
11318,particle,C09
11319,particles,C09
11320,pigment,C09
11321,present invention,C09
11322,present pigment,C09
11323,color,D21
11324,core pigment,D21
11325,cosmetic,D21
11326,dye,D21
11327,encapsulated,D21
11328,encapsulated bacteria,D21
11329,encapsulated luminescent pigment,D21
11330,encapsulated nail,D21
11331,encapsulated particles,D21
11332,encapsulated pigment particles,D21
11333,encapsulating agents,D21
11334,encapsulating dyes,D21
11335,encapsulation component,D21
11336,fill formulations,D21
11337,filler,D21
11338,multilayer structure,D21
11339,non encapsulated,D21
11340,pigment,D21
11341,pigment particles,D21
11342,pigmentation cream,D21
11343,skin pigments,D21
11344,stain,D21
11345,suitable encapsulation,D21
11346,time release material,D21
11347,un encapsulated,D21
11348,virus capsule,D21
11349,encircle with opening,F21
11350,enclose copy,F21
11351,enclose with base,F21
11352,enclose with gaps,F21
11353,enclose with opening,F21
11354,enclose with part,F21
11355,enclose with wall,F21
11356,enclosed document,F21
11357,enclosed opening,F21
11358,enclosed with opening,F21
11359,enclosed with orifices,F21
11360,enclosing with opening,F21
11361,enclosure,F21
11362,hole,F21
11363,holes,F21
11364,open bid,F21
11365,open room,F21
11366,opening stock,F21
11367,openings,F21
11368,openings with enclose,F21
11369,orifice,F21
11370,vent,F21
11371,binary converter,H04
11372,coding form,H04
11373,data decryption unit,H04
11374,declaration form,H04
11375,decode form,H04
11376,decryption code,H04
11377,decryption key,H04
11378,encode form video bit stream,H04
11379,encode in form,H04
11380,encoded form,H04
11381,gaseous form,H04
11382,head end encoder,H04
11383,interframe encode form,H04
11384,liquid form,H04
11385,pre encoded form,H04
11386,predetermined encode form,H04
11387,simple design,H04
11388,simple encoder,H04
11389,solid form,H04
11390,structural form,H04
11391,url encode,H04
11392,barbell,D03
11393,barbell rod,D03
11394,barcode scanner,D03
11395,bars end,D03
11396,bars outer edge,D03
11397,bead loom,D03
11398,compose of bars,D03
11399,consist of bars,D03
11400,end bars,D03
11401,end caps,D03
11402,end product of protein,D03
11403,end side,D03
11404,end side array,D03
11405,form of bars,D03
11406,gold end bars,D03
11407,loop connector,D03
11408,make of bars,D03
11409,multi stranded,D03
11410,nutri grain bar,D03
11411,rods,D03
11412,rods edge,D03
11413,rods end,D03
11414,round end bar,D03
11415,sliding clasps,D03
11416,ball end pin,A44
11417,bottom pins,A44
11418,dead end,A44
11419,distal end,A44
11420,edge pins,A44
11421,end days,A44
11422,end of the movie,A44
11423,fabric end,A44
11424,first tooth row,A44
11425,flat end pins,A44
11426,lock installed,A44
11427,pinheads,A44
11428,quick release,A44
11429,screw heads,A44
11430,second tooth rows,A44
11431,secure pins,A44
11432,securing means,A44
11433,semiconductor pins,A44
11434,side pins,A44
11435,slider teeth,A44
11436,stops,A44
11437,teeth,A44
11438,terminating pins,A44
11439,zipper teeth,A44
11440,circumference,F16
11441,periphery,F16
11442,acoustic guitar,G10
11443,end pin,G10
11444,end wall,G10
11445,guitar strap attachment,G10
11446,musical instrument,G10
11447,pinball,G10
11448,pins,G10
11449,safety pin,G10
11450,screw end pin,G10
11451,screw end pins,G10
11452,screw mounting pins,G10
11453,screw pins,G10
11454,six strings,G10
11455,synthetic knob,G10
11456,synthetic pin,G10
11457,wood pin,G10
11458,end pin,H01
11459,pin,H01
11460,pins,H01
11461,support pins,H01
11462,terminal,H01
11463,top pins,H01
11464,storage spring,B41
11465,elastic,D03
11466,elastic element,D03
11467,elastic means,D03
11468,energy storing spring,D03
11469,flexible element,D03
11470,pawl,D03
11471,spring,D03
11472,bracelet,G04
11473,clockwork spring,G04
11474,date,G04
11475,device maker,G04
11476,elastic energy storage,G04
11477,energy cell,G04
11478,energy discharge spring,G04
11479,energy storage mechanism,G04
11480,energy storing spring,G04
11481,escape mechanism,G04
11482,escape motor,G04
11483,escapement mechanism,G04
11484,mechanical device,G04
11485,power bank storage,G04
11486,rotary position spring,G04
11487,spring drive,G04
11488,spring energy,G04
11489,spring release energy,G04
11490,spring season,G04
11491,storage box,G04
11492,storage container,G04
11493,storage spring,G04
11494,tension,G04
11495,cage drive mechanism,H01
11496,closing spring,H01
11497,detent spring,H01
11498,drive mechanism,H01
11499,drive system,H01
11500,driving mechanism,H01
11501,driving system,H01
11502,opening means,H01
11503,opening spring,H01
11504,resilient spring,H01
11505,spring energy,H01
11506,storage spring,H01
11507,actuating device provided,H02
11508,additional,H02
11509,additional spring,H02
11510,cold storage,H02
11511,discharge circuit,H02
11512,elastic energy storage,H02
11513,electricity,H02
11514,electromagnet,H02
11515,electromagnetic spring,H02
11516,energy storage mechanism,H02
11517,impulse,H02
11518,impulse spring,H02
11519,leaf spring,H02
11520,locking device provided,H02
11521,memory spring,H02
11522,release energy,H02
11523,rotary position spring,H02
11524,rotating spring,H02
11525,spiral power spring,H02
11526,spring,H02
11527,spring season,H02
11528,spring tension,H02
11529,storage box,H02
11530,storage capacity,H02
11531,storage shed,H02
11532,storage spring,H02
11533,vehicle spring,H02
11534,attaching unit,H01
11535,bolt rifle,H01
11536,clamping member,H01
11537,connecting sockets,H01
11538,disconnect clamp,H01
11539,disengage clamp,H01
11540,disengage clamps,H01
11541,disengage from clamp,H01
11542,disengage toward clamp,H01
11543,electric control board,H01
11544,engage,H01
11545,engage about clamp,H01
11546,engage about clamping,H01
11547,engage clamping,H01
11548,engage clamps,H01
11549,engage with clamp,H01
11550,engage with clamping,H01
11551,fixture unit,H01
11552,move from clamp,H01
11553,move from clamps,H01
11554,move toward clamp,H01
11555,move toward clamps,H01
11556,nut and bolt,H01
11557,occupy clamp,H01
11558,receive,H01
11559,receive about clamp,H01
11560,receive clamp,H01
11561,receive clamping,H01
11562,receive with clamp,H01
11563,receive with clamping,H01
11564,screw engagement type clamping,H01
11565,unit test,H01
11566,bearings,B23
11567,cam device,B23
11568,deep hole boring tool,B23
11569,engage finger,B23
11570,engage in guide groove,B23
11571,engage in guide slit,B23
11572,engage in guide slot,B23
11573,engage in slot,B23
11574,engage longitudinal slot,B23
11575,engage the guide surface,B23
11576,engage with guide slot,B23
11577,engage with slot,B23
11578,engage within slot,B23
11579,engaging the guide rail slot,B23
11580,guide community,B23
11581,guide slot,B23
11582,guide therapeutics,B23
11583,headed studs,B23
11584,multiaxial material machining station,B23
11585,slot booking system,B23
11586,target materials,B23
11587,time slot,B23
11588,travel guide,B23
11589,block chain,B23
11590,block diagram,B23
11591,blocks,B23
11592,carving machine,B23
11593,causes of heart block,B23
11594,combine with blocks,B23
11595,connect with blocks,B23
11596,equip scheme,B23
11597,equip with blocks,B23
11598,equip with wooden blocks,B23
11599,equipped with blocks,B23
11600,gym equipment,B23
11601,heart block treatment,B23
11602,provide with blocks,B23
11603,resistance welding of aluminum,B23
11604,rotary slot cutting tool,B23
11605,set up with blocks,B23
11606,stock up with blocks,B23
11607,supply with blocks,B23
11608,tables,B23
11609,vacuum brazing furnace,B23
11610,wooden log,B23
11611,block chain,B27
11612,block diagram,B27
11613,blockchain cloud service,B27
11614,blocks system,B27
11615,carving machine,B27
11616,combine with blocks,B27
11617,equip program,B27
11618,equip protein,B27
11619,equip with blocks,B27
11620,equip with wooden blocks,B27
11621,equipped with blocks,B27
11622,fix with blocks,B27
11623,gym equipment,B27
11624,prepare with blocks,B27
11625,process for preserving wood,B27
11626,provide with blocks,B27
11627,set up with blocks,B27
11628,stock up with blocks,B27
11629,tables,B27
11630,wood impregnation agent,B27
11631,wooden poles,B27
11632,device unit,A63
11633,equipment,A63
11634,equipment device,A63
11635,equipment device unit,A63
11636,facility,A63
11637,unit,A63
11638,analyser,B01
11639,analyser module,B01
11640,analyser storage module,B01
11641,analyser system,B01
11642,analyzer,B01
11643,analyzer module,B01
11644,analyzer system,B01
11645,generation,B01
11646,lawn,B01
11647,lawn mower,B01
11648,machine,B01
11649,tool,B01
11650,user equipment unit,B01
11651,component,H01
11652,components,H01
11653,connection device,H01
11654,connection unit,H01
11655,device cleansing,H01
11656,device module,H01
11657,devices,H01
11658,distribution box,H01
11659,electronic elements,H01
11660,equipment,H01
11661,equipment device,H01
11662,equipment module,H01
11663,main road,H01
11664,main software,H01
11665,main unit,H01
11666,mechanical box,H01
11667,module station,H01
11668,module unit,H01
11669,service unit,H01
11670,source,H01
11671,source device,H01
11672,source unit,H01
11673,sports equipment,H01
11674,supply device,H01
11675,supply unit,H01
11676,test device,H01
11677,unit,H01
11678,unit circle,H01
11679,unit fraction,H01
11680,voltage signal,H01
11681,apparatus control device,H02
11682,apparatus detecting,H02
11683,apparatus detection,H02
11684,apparatus management device,H02
11685,appliance,H02
11686,appliance apparatus,H02
11687,appliance device,H02
11688,appliances,H02
11689,current signal,H02
11690,devices,H02
11691,devices in order,H02
11692,devices so order,H02
11693,farm equipment,H02
11694,gadgets,H02
11695,gear,H02
11696,gym equipment,H02
11697,hardware equipment,H02
11698,load,H02
11699,load device,H02
11700,load devices,H02
11701,loads,H02
11702,loads in order,H02
11703,loads so order,H02
11704,machine,H02
11705,manufacturing plant,H02
11706,medical equipment,H02
11707,module station,H02
11708,module unit,H02
11709,power apparatus,H02
11710,power control apparatus,H02
11711,power control device,H02
11712,power detecting apparatus,H02
11713,power detection,H02
11714,power detection apparatus,H02
11715,power device,H02
11716,power devices,H02
11717,power management apparatus,H02
11718,power management device,H02
11719,production equipment,H02
11720,service unit,H02
11721,sports equipment,H02
11722,storage apparatus,H02
11723,storage device,H02
11724,technical apparatus,H02
11725,terminal unit,H02
11726,test device,H02
11727,unit circle,H02
11728,unit fraction,H02
11729,user equipment unit,H02
11730,vehicle,H02
11731,voltage signal,H02
11732,active metal,B01
11733,active oxide,B01
11734,anhydrous,B01
11735,atom,B01
11736,atom molar,B01
11737,atom to molar,B01
11738,atom to weight,B01
11739,atom weight,B01
11740,atomic,B01
11741,atomic metal,B01
11742,atomic molar,B01
11743,atomic mole,B01
11744,atomic to molar,B01
11745,atomic weight,B01
11746,configurations,B01
11747,equivalent,B01
11748,equivalent molar amount,B01
11749,equivalent molar mass,B01
11750,equivalent molar weight,B01
11751,equivalent mole,B01
11752,equivalent rational numbers,B01
11753,equivalent weight,B01
11754,equivalents base,B01
11755,molar conductivity,B01
11756,molar equivalent,B01
11757,molar equivalent amount,B01
11758,molar equivalent dose,B01
11759,molar mass,B01
11760,molar pregnancy,B01
11761,molar teeth,B01
11762,mole equivalent,B01
11763,moles ratio,B01
11764,muscle endurance,B01
11765,oxide by weight,B01
11766,oxide metal,B01
11767,oxide to weight,B01
11768,oxide weight,B01
11769,pivalic acid anhydride,B01
11770,proportion,B01
11771,quantity,B01
11772,ratio,B01
11773,semantic searching,B01
11774,weight,B01
11775,weight by ions,B01
11776,acid molar,C01
11777,acid to molar,C01
11778,acid to weight,C01
11779,acid weight,C01
11780,amount of substance,C01
11781,atomic,C01
11782,average molar,C01
11783,average mole,C01
11784,body mass,C01
11785,body weight,C01
11786,equalizer amplifier,C01
11787,equalizer valve,C01
11788,equilibrium molar,C01
11789,equilibrium mole,C01
11790,equivalent,C01
11791,equivalent amount,C01
11792,equivalent mass,C01
11793,equivalent molar ratio,C01
11794,equivalent molar solution,C01
11795,equivalent molarity,C01
11796,equivalent weights,C01
11797,french equivalent,C01
11798,masses,C01
11799,mol,C01
11800,molality,C01
11801,molar,C01
11802,molar conductivity,C01
11803,molar equivalent,C01
11804,molar equivalent amount,C01
11805,molar mass,C01
11806,molar masses,C01
11807,molar teeth,C01
11808,moles equivalent,C01
11809,to molar,C01
11810,to weight,C01
11811,unit of measurement,C01
11812,volumetric,C01
11813,weight,C01
11814,actual consumption amount,F02
11815,amount,F02
11816,calculated amount,F02
11817,computed amount,F02
11818,consumption calculation,F02
11819,cost,F02
11820,current amount,F02
11821,current quantity,F02
11822,determine amount,F02
11823,determine estimated amount,F02
11824,engine with rotary pistons,F02
11825,estimated amount,F02
11826,estimated blood flow rate,F02
11827,estimated blood pressure value,F02
11828,estimated brain activity signal,F02
11829,estimated capacity,F02
11830,estimated level,F02
11831,estimated maximum amount,F02
11832,estimated maximum capacity,F02
11833,estimated quantity,F02
11834,estimated rate,F02
11835,estimation amount,F02
11836,fuel injection nozzle,F02
11837,level,F02
11838,level sensor,F02
11839,maximum amount,F02
11840,maximum capacity,F02
11841,maximum estimated amount,F02
11842,measured level,F02
11843,portion,F02
11844,predetermined amount,F02
11845,predetermined estimation,F02
11846,rate,F02
11847,rate of interest,F02
11848,total amount,F02
11849,total area,F02
11850,total cost,F02
11851,total rate,F02
11852,weldable metal articles,F02
11853,amount,G06
11854,amount formula,G06
11855,amount refund,G06
11856,amount validation,G06
11857,average value,G06
11858,calculated amount,G06
11859,calculator,G06
11860,determine estimated amount,G06
11861,determined set,G06
11862,estimate,G06
11863,estimate amount,G06
11864,estimate of value,G06
11865,estimate quantity,G06
11866,estimated list,G06
11867,estimated of value,G06
11868,estimated set,G06
11869,estimated value,G06
11870,evaluated amount,G06
11871,future amount,G06
11872,list,G06
11873,measuring device,G06
11874,non estimated amount,G06
11875,predetermined estimation,G06
11876,requested amount,G06
11877,requested quantity,G06
11878,required amount,G06
11879,required person,G06
11880,required quantity,G06
11881,specified required amount,G06
11882,specified threshold amount,G06
11883,speed value,G06
11884,supply calculation,G06
11885,supply raw material,G06
11886,supply water,G06
11887,threshold amount,G06
11888,total amount,G06
11889,total estimate,G06
11890,virtual amount,G06
11891,voltage signal,G06
11892,average,C07
11893,book mark,C07
11894,carrier,C07
11895,cutoff,C07
11896,cutoff polystyrene,C07
11897,distribution,C07
11898,distribution polystyrene,C07
11899,elimination mark,C07
11900,exclusion,C07
11901,exemption limit,C07
11902,gel exclusion chromatography,C07
11903,level,C07
11904,limitless,C07
11905,limits,C07
11906,mark sheet,C07
11907,marker,C07
11908,molar mass distribution,C07
11909,molecular sieve chromatography,C07
11910,molecular weight,C07
11911,permiation,C07
11912,preclusion limit,C07
11913,prevention indicia,C07
11914,propellant,C07
11915,size exclusion chromatography,C07
11916,social exclusion,C07
11917,thermometer,C07
11918,void volume,C07
11919,axial symmetry,B23
11920,clutch mechanism,B23
11921,exhibit asymmetry,B23
11922,exhibit axial symmetry,B23
11923,exhibit display,B23
11924,exhibit equality,B23
11925,exhibit form,B23
11926,exhibit mirror symmetry,B23
11927,exhibit planar symmetry,B23
11928,exhibit rotational symmetry,B23
11929,exhibit symmetrical,B23
11930,exhibit symmetry,B23
11931,exhibit uniformity,B23
11932,exhibit walls,B23
11933,exhibiting asymmetry,B23
11934,foldable object,B23
11935,high symmetry,B23
11936,left right symmetry,B23
11937,placement tool,B23
11938,rotary distributor,B23
11939,show symmetry,B23
11940,symmetry,B23
11941,symmetry shield,B23
11942,symmetry systems,B23
11943,symmetry therapy,B23
11944,symmetry thread painting,B23
11945,approximate symmetry,H01
11946,axial symmetry,H01
11947,axis cross,H01
11948,axis cross section,H01
11949,bilateral symmetry,H01
11950,centerline axis,H01
11951,conductive element pattern,H01
11952,cross roads,H01
11953,curves line,H01
11954,demonstrate symmetry,H01
11955,double symmetry,H01
11956,exhibit asymmetry,H01
11957,exhibit axial symmetry,H01
11958,exhibit rotational symmetry,H01
11959,high symmetry,H01
11960,left right symmetry,H01
11961,plane,H01
11962,rotational device,H01
11963,section maker,H01
11964,symmetric function,H01
11965,symmetric matrix,H01
11966,symmetric relation,H01
11967,symmetry,H01
11968,x z axes,H01
11969,cargo transport system,B64
11970,chlorine gas electrode,B64
11971,conductive electrode,B64
11972,electrode,B64
11973,electrode assembly,B64
11974,electrode opening,B64
11975,electrodes,B64
11976,electron electrode,B64
11977,emergency exit,B64
11978,entrance electrode,B64
11979,exit card,B64
11980,exit command in shell script,B64
11981,exit electrode,B64
11982,exit electrodes,B64
11983,exit error code,B64
11984,exit poll,B64
11985,gas generator,B64
11986,igniter circuits,B64
11987,landing bag shape control,B64
11988,negative electrode,B64
11989,negative potential,B64
11990,opening,B64
11991,oxygen gas electrode,B64
11992,solid expellant plasma generator,B64
11993,standard hydrogen electrode,B64
11994,welding electrode holder,B64
11995,expand dna,A61
11996,expand intraluminal,A61
11997,expand lumen,A61
11998,expandable,A61
11999,expandable economy,A61
12000,expandable elongate,A61
12001,expandable implantable,A61
12002,expandable implantable intraluminal,A61
12003,expandable inside the lumen,A61
12004,expandable lumen intraluminal,A61
12005,expandable muscle,A61
12006,expandable rubber,A61
12007,expandable stick,A61
12008,expandable within the lumed,A61
12009,expanding,A61
12010,expanding elongate,A61
12011,expanding implantable,A61
12012,expansion within the lumen,A61
12013,implantable,A61
12014,improved,A61
12015,intra abdominal,A61
12016,intraluminal expansion,A61
12017,prosthesis,A61
12018,situated inside,A61
12019,situated within,A61
12020,stent,A61
12021,anchor,A61
12022,biodegradable material,A61
12023,carbon nanotube,A61
12024,catheter,A61
12025,compressible,A61
12026,compressible expandable prosthesis,A61
12027,compressible expandable structure,A61
12028,compressible implantable prosthesis,A61
12029,compressible implantable structure,A61
12030,compressible prosthesis,A61
12031,compressible stent,A61
12032,elongate flexible,A61
12033,elongate flexible member,A61
12034,elongate member,A61
12035,envelope,A61
12036,expandable 3 d scaffolding,A61
12037,expandable biocompatible scaffolds,A61
12038,expandable bone scaffold,A61
12039,expandable collagen scaffolds,A61
12040,expandable flexible,A61
12041,expandable flexible member,A61
12042,expandable hard disk,A61
12043,expandable implantable prosthesis,A61
12044,expandable implantable structure,A61
12045,expandable member,A61
12046,expandable memory,A61
12047,expandable prosthesis,A61
12048,expandable ram,A61
12049,expandable sheath,A61
12050,expandable slidably,A61
12051,expandable stent,A61
12052,expandable stent body,A61
12053,expandable stent structure,A61
12054,expandable structure,A61
12055,expandable tissue scaffolds,A61
12056,expandable tubular body,A61
12057,expandable tubular structure,A61
12058,expanded scaffold,A61
12059,expanded stent,A61
12060,expanded stent structure,A61
12061,expanded structure,A61
12062,expanded tubular structure,A61
12063,expansive scaffold,A61
12064,hyaluronic acid,A61
12065,implantable valve,A61
12066,outer member,A61
12067,outer sheath,A61
12068,scaffold,A61
12069,scaffold flutter,A61
12070,scaffold slidably,A61
12071,scaffolding,A61
12072,tissue scaffolds,A61
12073,adjustable scaffold,E04
12074,adjustable scaffolding,E04
12075,atom structure,E04
12076,beam structure,E04
12077,construction,E04
12078,data staging,E04
12079,expandable configuration,E04
12080,expandable files,E04
12081,expandable framework,E04
12082,expandable ram,E04
12083,expandable view,E04
12084,expanding structures,E04
12085,extendable platform,E04
12086,fittings,E04
12087,heart stent,E04
12088,improved scaffold,E04
12089,improved scaffolding,E04
12090,non expandable scaffold,E04
12091,scaffold,E04
12092,scaffold like structure,E04
12093,scaffolding,E04
12094,spiral stent,E04
12095,staging,E04
12096,three dimensional structural framework,E04
12097,work support structure,E04
12098,area enlargement,A24
12099,area expansion,A24
12100,areas may extend,A24
12101,army area,A24
12102,enlarge area,A24
12103,expand areas,A24
12104,extend around,A24
12105,extend between areas,A24
12106,extend between sides,A24
12107,extend over areas,A24
12108,extend over tissue,A24
12109,extended area,A24
12110,extending a place,A24
12111,extending lifespan,A24
12112,extension,A24
12113,extension of place,A24
12114,extension of point,A24
12115,increased areas,A24
12116,large area,A24
12117,militant area,A24
12118,road area,A24
12119,virtual area,A24
12120,area of circle,H01
12121,broad field,H01
12122,clean area,H01
12123,dangerous area,H01
12124,detector device,H01
12125,diode resistance,H01
12126,electric zone,H01
12127,electrical connection portion,H01
12128,extend area housing,H01
12129,extend between areas,H01
12130,extend over areas,H01
12131,extended portion,H01
12132,extended region,H01
12133,extended surface,H01
12134,extensive area,H01
12135,house area,H01
12136,large area,H01
12137,mounting elements,H01
12138,reduce brightness,H01
12139,reduced areas,H01
12140,termination device,H01
12141,transistor elements,H01
12142,arrangement,B23
12143,arrangement systems,B23
12144,atomic arrangement,B23
12145,data arrangement,B23
12146,elongate arrangement,B23
12147,expand arrangement,B23
12148,extend arrangement,B23
12149,extend file size,B23
12150,extend in arrangement,B23
12151,extend setup,B23
12152,extend validity,B23
12153,extend warranty,B23
12154,extension arrangement,B23
12155,fixed arrangement,B23
12156,flow guide,B23
12157,information arrangement technique,B23
12158,overlapping sheets,B23
12159,shorten arrangement,B23
12160,trolley system,B23
12161,bottom groove,B60
12162,bottom leaf,B60
12163,bottom position,B60
12164,bottom teeth,B60
12165,discharge from groove,B60
12166,disengage from groove,B60
12167,elongate from groove bottom,B60
12168,expand from groove bottom,B60
12169,extend blood flow,B60
12170,extend from groove bottom,B60
12171,extend hair tablet,B60
12172,extend plant life,B60
12173,extending in circumferential groove portion,B60
12174,groove bottom,B60
12175,groove bottom surface,B60
12176,groove bottom wall,B60
12177,inclined groove wall,B60
12178,key arrangement for motor vehicle,B60
12179,lengthen from groove bottom,B60
12180,outer housing,B60
12181,positioning from groove,B60
12182,projecting from groove opening,B60
12183,rear body for a truck,B60
12184,release from groove,B60
12185,retract from groove,B60
12186,saw filter,B60
12187,skeleton bottom view,B60
12188,slot base,B60
12189,edge,C12
12190,outer edge,C12
12191,outer perimeter,C12
12192,perimeter,C12
12193,casting manufacturing methods,C13
12194,casting methods,C13
12195,casting process,C13
12196,casting processing method,C13
12197,casting processing methods,C13
12198,chemical process,C13
12199,chemical synthesis,C13
12200,data extracting,C13
12201,data mining,C13
12202,derive from something,C13
12203,elimination method,C13
12204,extra work,C13
12205,extraction,C13
12206,fiber manufacturing methods,C13
12207,fiber processing method,C13
12208,fiber processing methods,C13
12209,insertion process,C13
12210,isolation method,C13
12211,process mining,C13
12212,process to incorporate,C13
